inter,comm
18588,0
18588,0
18588,0
18588,0
18588,0
18588,0
18588,0
2633,0
2633,0
2633,0
2633,0
2633,0
2633,0
2633,0
2633,0
2633,0
2721,0
2721,0
2721,0
2721,0
2721,0
2721,0
2721,0
2721,0
2721,0
2721,0
2721,0
2721,0
2721,0
2721,0
18321,0
18321,0
18321,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
42887,0
24157,0
24157,0
24157,0
24157,0
24157,0
24157,0
24157,0
32874,0
32874,0
32874,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
30407,0
35942,0
35942,0
35942,0
35942,0
35942,0
35942,0
35942,0
35942,0
35942,0
35942,0
11320,0
11320,0
11320,0
11320,0
11320,0
11320,0
7706,0
7706,0
7706,0
7706,0
7706,0
7706,0
7706,0
7706,0
30332,0
30332,0
30332,0
30332,0
30332,0
30332,0
30332,0
30332,0
7848,0
7848,0
7848,0
7848,0
9232,0
9232,0
9232,0
9232,0
9232,0
9232,0
9232,0
9232,0
9232,0
9232,0
9232,0
9232,0
9232,0
8015,0
8015,0
8015,0
35807,0
35807,0
35807,0
35807,0
35807,0
35807,0
35790,0
35790,0
35790,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
9372,0
9372,0
9372,0
9372,0
9372,0
9372,0
9372,0
7262,0
7262,0
7212,0
7212,0
7212,0
7212,0
7212,0
7212,0
7212,0
7212,0
7212,0
7212,0
13651,0
13651,0
7075,0
7075,0
7075,0
7075,0
7075,0
7075,0
7075,0
7075,0
7075,0
7644,0
7644,0
7644,0
7644,0
7644,0
9354,0
9354,0
9354,0
31633,0
31633,0
31633,0
11500,0
11500,0
11500,0
11500,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
8873,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
9051,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
11523,0
9095,0
9095,0
9095,0
9095,0
9095,0
9095,0
9095,0
9095,0
9095,0
9095,0
9047,0
9047,0
9047,0
9047,0
9047,0
34691,0
34691,0
34691,0
34691,0
34691,0
34691,0
34691,0
34691,0
9035,0
9035,0
9035,0
12208,0
12208,0
12208,0
12208,0
12208,0
12208,0
9181,0
9181,0
9181,0
9181,0
9181,0
9181,0
9181,0
9181,0
9181,0
35113,0
35113,0
35113,0
14951,0
14951,0
14951,0
14951,0
38756,0
38756,0
38756,0
38756,0
38756,0
38756,0
38756,0
38756,0
38756,0
38756,0
5971,0
5971,0
5971,0
5971,0
5971,0
14719,0
14719,0
14719,0
14719,0
14719,0
14719,0
14719,0
14719,0
14719,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5866,0
5848,0
5848,0
5848,0
5848,0
5848,0
5848,0
5848,0
5848,0
5848,0
5848,0
5848,0
5848,0
5848,0
5848,0
5254,0
5254,0
5254,0
5254,0
5254,0
5254,0
5254,0
5254,0
5215,0
5215,0
5215,0
5215,0
5215,0
5215,0
5215,0
5215,0
5065,0
5065,0
5065,0
5065,0
5065,0
5065,0
5065,0
5065,0
5065,0
5065,0
5065,0
27703,0
27703,0
27703,0
27703,0
27703,0
27703,0
27703,0
10984,0
10984,0
39397,0
39397,0
39397,0
39397,0
5459,0
5459,0
5459,0
5459,0
5459,0
5459,0
5459,0
5459,0
5459,0
27955,0
27955,0
27955,0
27955,0
27955,0
27955,0
27955,0
27955,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
28028,0
29205,0
29205,0
29205,0
