user,inter
1274,37738
21727,37738
15405,37738
8426,37738
6270,37738
11526,37738
11720,37738
6040,37738
9581,37738
18417,37738
1092,37738
10316,37738
11884,37738
19108,37738
9799,3749
9799,23113
11008,23113
9799,31216
9799,14677
9799,1180
1702,3752
19961,3752
1274,3752
3482,3752
1702,10162
6781,10162
13713,10162
11778,10162
3945,10162
19548,10162
815,10162
15872,10162
21990,10162
19442,10162
9168,10162
363,10162
1702,24741
12690,24741
20239,24741
1702,9644
17514,9644
14465,9644
4631,9644
4528,9644
19548,9644
15872,9644
2406,9644
1067,9644
1649,9644
1702,196
1702,357
1274,357
3482,357
20532,357
19961,9811
1274,9811
20515,9811
12477,9811
21709,9811
14245,9811
10851,9811
21727,9811
22230,9811
15405,9811
19961,4729
1274,4729
10851,4729
15405,4729
6744,4729
1605,4729
9750,4729
8164,4729
4679,4729
10794,4729
22836,4729
13405,4729
19961,34018
9107,34018
19961,26622
1274,26622
22451,26622
10851,26622
940,26622
6547,26622
10089,26622
4903,26622
1605,26622
18417,26622
14399,26622
1092,26622
7788,26622
20301,26622
19961,22591
1274,22591
17220,22591
940,22591
15560,22591
20279,22591
197,22591
5820,22591
11064,22591
6089,22591
18417,22591
8942,22591
12495,22591
588,22591
19961,41985
1274,41985
13991,41985
6781,41985
5887,41985
5479,41985
21366,41985
737,41985
1469,41985
2920,41985
3163,41985
13448,41985
20532,41985
14399,41985
3836,41985
1559,41985
19139,41985
19961,36195
19961,14987
1274,14987
21709,14987
16506,14987
5479,14987
3343,14987
5831,14987
5606,14987
8306,14987
5580,14987
12658,14987
8164,14987
10794,14987
12690,14987
12613,14987
1092,14987
5733,14987
19961,34299
1274,34299
12477,34299
10487,34299
2858,34299
6304,34299
19991,34299
8306,34299
14573,34299
22836,34299
14522,34299
5987,34299
6047,34299
14488,34299
12992,34299
19845,34299
19961,46178
10851,46178
21757,46178
18181,46178
22387,41154
22451,41154
22387,17578
11142,17578
17168,17578
15,17578
511,17578
3278,17578
2042,17578
3472,17578
19903,17578
17711,17578
15066,17578
22387,25480
22451,25480
22357,25480
20515,25480
4825,25480
17168,25480
15,25480
10691,25480
11078,25480
15560,25480
13996,25480
12568,25480
16225,25480
22033,25480
6053,25480
22387,27518
11142,27518
20139,27518
17837,27518
13469,27518
16931,27518
3278,27518
7,27518
2622,27518
19953,27518
5040,27518
11310,27518
6053,27518
14266,27518
19630,27518
19084,27518
13570,27518
8362,27518
20112,27518
12798,27518
14443,27518
22387,26528
11142,26528
21151,26528
7,26528
14306,26528
22387,16733
11142,16733
7,16733
5040,16733
1764,16733
12683,16733
22387,1777
511,1777
19239,1777
7232,1777
20898,1777
22387,18876
22451,18876
14145,18876
13890,18876
2808,18876
18250,18876
16225,18876
4575,18876
7106,18876
15124,18876
20898,18876
6964,18876
21900,18876
22387,43498
11142,43498
7,43498
17711,43498
22875,43498
22387,19490
22451,19490
5980,19490
8785,19490
8188,19490
20501,19490
19935,19490
22387,44106
11142,44106
17168,44106
15,44106
22483,44106
6956,44106
3317,44106
5659,44106
22387,24635
11142,24635
13469,24635
7,24635
2622,24635
14266,24635
19084,24635
14443,24635
12683,24635
22387,2768
11142,2768
22451,2768
23185,2768
8917,2768
9833,2768
7,2768
17711,2768
16366,2768
15415,2768
15367,2768
16420,2768
3317,2768
22387,24326
11142,24326
22451,24326
22357,24326
15,24326
2042,24326
7,24326
1911,24326
1785,24326
14514,24326
8672,24326
10793,24326
22387,17997
11142,17997
10008,17997
17837,17997
11310,17997
14613,17997
16749,17997
22387,30429
14508,30429
9644,30429
10539,30429
6133,30429
22387,8815
11142,8815
16997,8815
21151,8815
16779,8815
7087,8815
22387,35422
11142,35422
7,35422
14306,35422
20080,35422
22387,34595
11142,34595
561,34595
13469,34595
16931,34595
7273,34595
2622,34595
19953,34595
14266,34595
1911,34595
13570,34595
12798,34595
5468,34595
11539,34595
22387,31981
11142,31981
20919,31981
18668,31981
18250,31981
7,31981
17711,31981
12480,31981
17274,31981
19630,31981
22387,35005
11142,35005
22451,35005
20919,35005
12480,35005
21308,35005
22387,15270
15227,15270
20919,15270
22875,15270
8362,15270
6350,15270
8382,15270
22387,15738
11142,15738
22451,15738
17168,15738
10008,15738
15,15738
736,15738
2042,15738
7,15738
14306,15738
2647,15738
3691,15738
5659,15738
877,15738
20080,15738
17341,15738
22387,29076
11142,29076
13469,29076
11310,29076
13570,29076
12798,29076
14443,29076
14736,29076
22387,29399
15324,29399
3656,29399
2808,29399
18250,29399
3804,29399
5804,29399
4130,29399
16473,29399
7232,29399
20898,29399
6964,29399
7167,29399
16678,29399
22387,497
11142,497
22451,497
14714,497
15324,497
17837,497
7,497
17711,497
4057,497
14306,497
8362,497
4053,497
14939,497
9907,497
12080,497
16749,497
5659,497
21379,497
22387,21831
11142,21831
22387,33289
11142,33289
9242,33289
9565,33289
1911,33289
22387,681
10691,681
19630,681
5980,681
8574,681
22387,21181
11142,21181
22451,21181
15560,21181
1274,26285
940,26285
7971,26285
12376,26285
15560,26285
13991,26285
5841,26285
6547,26285
6781,26285
14566,26285
5887,26285
1274,26208
10227,26208
1274,10836
17220,10836
4993,10836
2867,10836
14566,10836
19743,10836
15420,10836
10108,10836
5842,10836
1976,10836
8521,10836
15321,10836
6127,10836
3541,10836
21916,10836
10345,10836
1743,10836
23154,10836
16497,10836
5872,10836
16873,10836
10089,10836
5001,10836
1274,41714
9322,41714
8426,41714
2153,41714
12376,41714
15560,41714
904,41714
197,41714
12876,41714
5781,41714
23278,41714
13419,41714
19095,41714
2858,41714
3343,41714
6101,41714
8208,41714
1274,25260
5841,25260
5479,25260
5820,25260
5881,25260
4903,25260
14193,25260
9912,25260
16142,25260
1274,25247
4903,25247
1274,41809
12376,41809
